PVCD,"PVR: ECX Chanakyapuri, Delhi",,DELHI,Delhi,28.585,77.1923,Y,VS,N,Y,Y,AC,Y,true,false,false,2018-10-29 19:15:00
PVCG,"PVR: Select City Walk (Gold), Delhi",,DELHI,Delhi,28.5286,77.2197,Y,VS,N,Y,Y,AC,Y,true,false,false,2018-10-29 19:15:00
PVDC,"PVR: Director`s Cut, Ambience Delhi",,DELHI,Delhi,28.5412,77.1545,Y,VS,N,Y,Y,AC,Y,true,false,false,2018-10-29 19:15:00
PVED,"PVR: EDM, Ghaziabad",,GHAZ,Ghaziabad,28.6414,77.3165,Y,VS,N,Y,Y,AC,Y,true,false,false,2018-10-29 19:15:00
PVFR,"PVR: Crown Plaza, Faridabad",,FARI,Faridabad,28.3979,77.3131,Y,VS,N,Y,Y,AC,Y,true,false,false,2018-10-29 19:15:00
PVGM,"PVR: Mahagun, Ghaziabad",,GHAZ,Ghaziabad,28.6448,77.3355,Y,VS,N,Y,Y,AC,Y,true,false,false,2018-10-29 19:15:00
PVGN,"PVR: MGF, Gurgaon",,GURG,Gurugram (Gurgaon),28.4809,77.0802,Y,VS,N,Y,Y,AC,Y,true,false,false,2018-10-29 19:15:00
PVGO,"PVR: Opulent, Ghaziabad",,GHAZ,Ghaziabad,28.6542,77.4367,Y,VS,N,N,Y,AC,Y,true,false,false,2018-10-29 19:15:00
PVIP,"PVR: VVIP, Ghaziabad",,GHAZ,Ghaziabad,28.6971,77.4287,Y,VS,N,Y,Y,AC,Y,true,false,false,2018-10-29 19:15:00
PVNC,"PVR: Ambience, Paytm IMAX, Gurgaon",,GURG,Gurugram (Gurgaon),28.5041,77.0969,Y,VS,N,N,N,AC,Y,true,false,false,2018-10-29 19:15:00
PVNR,"PVR: Naraina, Delhi",,DELHI,Delhi,28.6331,77.1387,Y,VS,N,Y,Y,AC,Y,true,false,false,2018-10-29 19:15:00
PVPL,"PVR: Plaza-CP, Delhi",,DELHI,Delhi,28.6354,77.2193,Y,VS,N,Y,N,AC,Y,true,false,false,2018-10-29 19:15:00
PVPV,"PVR: Prashant Vihar, Delhi",,DELHI,Delhi,28.7125,77.1359,Y,VS,N,Y,N,AC,Y,true,false,false,2018-10-29 19:15:00
PVRL,"PVR: Logix, Noida",,NOIDA,Noida,28.5743,77.3534,Y,VS,N,Y,Y,AC,Y,true,false,false,2018-10-29 19:15:00
PVRV,"PVR: Rivoli, Delhi",,DELHI,Delhi,28.6311,77.2162,Y,VS,N,Y,N,AC,Y,true,false,false,2018-10-29 19:15:00
PVSD,"PVR: Sangam, Delhi",,DELHI,Delhi,28.573,77.1735,Y,VS,N,Y,Y,AC,Y,true,false,false,2018-10-29 19:15:00
PVSH,"PVR: Sahara, Gurgaon",,GURG,Gurugram (Gurgaon),28.4798,77.0868,Y,VS,N,Y,Y,AC,Y,true,false,false,2018-10-29 19:15:00
PVSK,"PVR: Anupam, Delhi",,DELHI,Delhi,28.5238,77.2068,Y,VS,N,Y,Y,AC,Y,true,false,false,2018-10-29 19:15:00
PVVK,"PVR: Vikaspuri, Delhi",,DELHI,Delhi,28.6392,77.0745,Y,VS,N,Y,Y,AC,Y,true,false,false,2018-10-29 19:15:00
PVWM,"PVR: Select City Walk IMAX, Delhi",,DELHI,Delhi,28.5286,77.2197,Y,VS,N,Y,N,AC,Y,true,false,false,2018-10-29 19:15:00
QCKU,"Q Cinemas: TDI Mall, Kundli",,KUND,Kundli,28.8864,77.118,Y,VS,N,N,Y,AC,Y,false,false,false,2018-10-29 19:15:00
